,mzp,mdh,mdm,gq,gx,exp,obs
325,2572.0,51.0,1005.0,0.25,0.28695657170811795,4.04833506359e+31,
326,2577.0,73.0,135.0,0.25,0.9853891739098156,0.208248731644,0.35647232108
327,2582.0,88.0,1108.0,0.25,2.161955867428853,0.270542310649,0.347759127145
328,2587.0,154.0,1006.0,0.25,1.7528583012650196,1.92193666849,2.12246896315
329,2592.0,125.0,560.0,0.25,0.3379428833554843,34.7681253075,35.4154314834
330,2602.0,58.0,961.0,0.25,2.8732424083547796,0.0746511748857,0.145469025737
331,2607.0,83.0,773.0,0.25,1.9022183846307799,0.131060677688,0.17374428466
332,260.0,52.0,467.0,0.25,0.12488326735610826,,
333,2612.0,134.0,1054.0,0.25,2.27229010331155,0.256987817943,0.375853005867
334,2617.0,76.0,1115.0,0.25,0.9577567957237719,5.97975317574,10.2929132885
335,2622.0,154.0,517.0,0.25,0.3786635329868608,81363075295.3,
336,2626.0,64.0,985.0,0.25,0.4109292425503061,232794795.617,
337,2631.0,103.0,537.0,0.25,0.25158552916872906,4515707484150.0,
338,2641.0,71.0,159.0,0.25,0.10417338648620532,,
339,2646.0,51.0,1071.0,0.25,0.6184931196394678,224.637761638,
340,2651.0,105.0,116.0,0.25,0.2962871302500661,19.4530296141,23.3652313662
341,2656.0,127.0,167.0,0.25,0.8794225734695098,0.461405093609,0.521588925017
342,265.0,135.0,515.0,0.25,0.3308102038586099,3.24829615348e+23,
343,2661.0,77.0,198.0,0.25,0.5327016167447731,2.50293076689,4.0724163558
344,2666.0,121.0,311.0,0.25,0.3551896136744369,16.6900294318,16.8081051493
345,2671.0,117.0,189.0,0.25,0.31251711625591394,22.8870954615,25.7057293449
346,2676.0,150.0,1107.0,0.25,3.3837587976424794,0.208760107115,0.287407811538
347,2681.0,117.0,836.0,0.25,0.5032443713891406,25.3070250971,26.2121498869
348,2686.0,140.0,974.0,0.25,1.488400062835537,1.07810444021,1.62253167545
349,2691.0,74.0,630.0,0.25,0.10566546162255333,1.76329420553e+54,
350,2696.0,138.0,461.0,0.25,0.15402962829874728,,
351,2701.0,126.0,433.0,0.25,2.893745972925099,0.0244178618995,0.0269284353822
352,2706.0,93.0,266.0,0.25,0.7004501849268256,1.35456864751,1.69366474107
353,270.0,151.0,787.0,0.25,0.21668796932760417,1.42829054746e+64,
354,2711.0,80.0,921.0,0.25,2.3882551866094155,0.111544013702,0.161298242305
355,2716.0,120.0,799.0,0.25,1.1239275171260592,0.994184676199,0.960748463454
356,2721.0,86.0,746.0,0.25,0.2069006785940458,1.46306226139e+30,
357,2730.0,108.0,917.0,0.25,0.11145359343235581,9.06106948795e+68,
358,2735.0,152.0,965.0,0.25,0.7054486234690032,34.8870737749,754.560285208
359,2740.0,75.0,713.0,0.25,2.4835075125898514,0.0599039753945,0.100177606587
360,2745.0,84.0,992.0,0.25,0.2672605231985766,1.35616676254e+28,
361,2750.0,169.0,105.0,0.25,0.2098641164608237,1.90387142142e+56,
